date,ratio
2025-04-01,43.804775786872426
2025-04-02,43.78608203083399
2025-04-03,46.25840390096259
2025-04-04,48.5884806976262
2025-04-07,48.62108750796012
2025-04-08,49.82208477873092
2025-04-09,49.02165316441229
2025-04-10,52.52538650243634
2025-04-11,52.3934951410061
2025-04-14,52.0851635366268
2025-04-15,52.48165424873791
2025-04-16,53.25116107975654
2025-04-17,51.15491551577974
2025-04-21,53.998095312276625
2025-04-22,52.88135869900489
2025-04-23,52.614421466888615
2025-04-24,53.06577403116472
2025-04-25,52.08505043638696
2025-04-28,53.706688815067714
2025-04-29,54.928833985531675
2025-04-30,56.77718694349883
2025-05-01,54.18635903190404
2025-05-02,55.445185307637104
2025-05-05,57.960790949051656
2025-05-06,57.7322710024455
2025-05-07,58.229721372723446
2025-05-08,55.02587391174315
2025-05-09,54.660764951196946
2025-05-12,51.97740048982067
2025-05-13,50.892102120533174
2025-05-14,50.37846121096308
2025-05-15,52.26712117817565
2025-05-16,50.92014585585255
2025-05-19,51.50582187073269
2025-05-20,52.4344625450823
2025-05-21,53.74857991279665
2025-05-22,53.79575176119646
2025-05-23,54.66601924893923
2025-05-27,54.18131270694529
2025-05-28,53.260027320980186
2025-05-29,54.43223125053404
2025-05-30,54.102646040653035
2025-06-02,53.91234921588508
2025-06-03,52.833937221789846
2025-06-04,53.67541896423531
2025-06-05,52.875177649497516
2025-06-06,51.450911380651014
2025-06-09,51.03538138967626
2025-06-10,51.10649016286021
2025-06-11,48.73514269206454
2025-06-12,49.68988619710906
2025-06-13,47.0156178863191
2025-06-16,47.32339502863654
2025-06-17,45.25120608459535
2025-06-18,45.113123188221856
2025-06-20,44.949954409964135
2025-06-23,49.30228938623299
2025-06-24,51.53642629788298
2025-06-25,51.24923277104741
2025-06-26,51.09595507591563
2025-06-27,49.964898029620265
2025-06-30,50.59744849426384
2025-07-01,50.9809030825553
2025-07-02,49.63677022208156
2025-07-03,49.725374591884325
2025-07-04,50.11278195488722
2025-07-07,49.05343642281693
2025-07-08,48.39748150712081
2025-07-09,48.42936868487107
2025-07-10,49.833256985904356
2025-07-11,49.028490133280904
2025-07-14,50.03732206670696
2025-07-15,50.05712893665939
2025-07-16,50.50467217106395
2025-07-17,49.45365786763509
2025-07-18,49.79210249991276
2025-07-21,50.62351275051266
2025-07-22,51.943815114451866
2025-07-23,52.0168597341954
2025-07-24,51.052552814175534
2025-07-25,51.16635685425422
2025-07-28,49.604259377459236
2025-07-29,48.019071612577996
2025-07-30,47.082857840401786
2025-07-31,47.54836629508527
2025-08-01,49.72077617897541
2025-08-04,50.90360319414858
2025-08-05,51.90146888083017
2025-08-06,52.525253770740896
2025-08-07,53.22949267333896
2025-08-08,53.836882281657104
2025-08-11,52.42495537293199
2025-08-12,53.0140889570278
2025-08-13,53.610532631583304
2025-08-14,52.14509066466747
2025-08-15,53.12101975363251
2025-08-18,52.533901724445315
2025-08-19,53.141940391851094
2025-08-20,52.89352872598041
2025-08-21,52.53305853740592
